Number	Segment	BIPA	Frequency	Example	Languages
426	tʂʰ	ʈʂʰ	25	Xingning	tʂʰ ʊ ŋ ²¹
427	ɔ̰	ɔ̰	25	Maru	ŋ ɔ̰ ʔ ⁵⁵
428	u̱	u̠	25	Jingpho	tʃ u̱ ʔ ⁵⁵ ◦ k ă ³¹ ◦ p a ŋ ³³
429	o̱	o̠	26	Jingpho	s i ŋ ³¹ ◦ k o̱ ³³
430	ʉ	ʉ	27	Khaling	n ʉ s
431	ã	ã	27	Rongpo	b ã s
432	ɵ	ɵ	27	Khaling	p ɵ k
433	²³	²³	27	Guangzhou	l a ŋ ²³
434	û	û	28	Hakha_Chin	f û ŋ
435	ɴ	ɴ	29	Old_Tibetan	ɴ pʰ r u g
436	ɑ̃	ɑ̃	29	Rangoon	p j ɑ̃ ∼ ²²
437	ũ	ũ	30	Rongpo	s ũ ŋ ə r
438	ṵ	ṵ	30	Atsi	m ṵ t ⁵⁵ + m a u ⁵⁵
439	C/		31	Old_Chinese	C/ + n a n
440	²⁴	²⁴	32	Xingning	ŋ a i ²⁴
441	ʑ	ʑ	32	Achang_Longchuan	ʑ ɔ ŋ ³¹
442	³²	³²	33	Longgang	ts a u ³²
443	ɲ	ɲ	33	Bunan	ɲ a
444	oː	oː	33	Tibetan_Lhasa	l oː ⁵⁵
445	ā	ā	34	Mikir	a r j ā ng
446	á	á	35	Rabha	tʃ á + kʰ a + tʰ o ŋ
447	tʃʰ	tʃʰ	36	Rongpo	m a tʃʰ a
448	sʰ	sʰ	36	Tibetan_Xiahe	sʰ o _ m a
449	¹¹	¹¹	37	Chaozhou	t u a ¹¹
450	³	³	37	Guangzhou	p a t ³
451	n̥	n̥	37	Zhaba_Daofu_County	n̥ ɛ ¹³
452	ø	ø	38	Bola	kʰ ø ʔ ³¹
453	ɔ̃	ɔ̃	39	Rongpo	b aː ŋ ɔ̃
454	tɕh		41	Motuo_Menba	tɕh i ŋ _ p a
455	ə̂	ə̂	42	Wobzi_Khroskyabs	ʁ m ə̂
456	uː	uː	42	Byangsi	n uː d ɛ
457	⁵²	⁵²	43	Tibetan_Lhasa	j u ⁵²
458	⁴⁵	⁴⁵	43	Xingning	m a n ⁴⁵
459	⁰	⁰	45	Beijing	ts ɑ o ²¹⁴₂₁ tɕʰ i ⁰
460	â	â	45	Hakha_Chin	th â r + th ǎ r
461	¹	¹	47	Limbu	p u ¹
462	χ	χ	48	Tibetan_Xiahe	th a χ _ ȵ i
463	dz	dz	48	Bunan	dz a ŋ i
464	²¹⁴	²¹⁴	50	Beijing	w ɔ ²¹⁴
465	ʁ	ʁ	55	Japhug	ɲ a ʁ
466	⁴	⁴	55	Rangoon	l ɛ ʔ ⁴
467	iː	iː	55	Bunan	ɕ iː
468	æ	æ	55	Tibetan_Alike	r ə _ p æ
469	ɪ	ɪ	61	Tibetan_Batang	ʐ ɪ ²³¹
470	ɨ	ɨ	62	Byangsi	m ɨ n j/dʒ e
471	ɿ	ɿ	63	Xiandao	ʂ ɿ ⁵⁵
472	ch	ch	64	Hakha_Chin	ch u i h
473	ĩ	ĩ	66	Tibetan_Lhasa	ts ĩ ∼ ¹³
474	ᴜ		67	Tibetan_Batang	ʐ ᴜ ¹³ ◦ p a ⁵³
475	a̰	a̰	67	Bola	ŋ a̰ ʔ ⁵⁵
476	ng	ng	71	Hakha_Chin	l e ng a h
477	ḥ		71	Old_Burmese	th ū ḥ
478	ă	ă	72	Jingpho	l ă ⁵⁵ ◦ t i ⁵¹
479	f	f	73	Hakha_Chin	f a p a
480	ʊ	ʊ	74	Guangzhou	t ʊ ŋ ³³
481	tʂ	ʈʂ	77	Zhaba_Daofu_County	tʂ u ⁵⁵
482	ɤ	ɤ	78	Japhug	t ɤ ◦ s e
483	tɕʰ	tɕʰ	85	Bunan	tɕʰ e j
484	dʑ	dʑ	86	Old_Tibetan	m dʑ i ŋ + p a +
485	⁵	⁵	88	Chaozhou	l e k ⁵
486	ph	pʰ	88	Jingpho	k ă ³¹ ◦ ph a ʔ ³¹
487	ʐ	ʐ	88	Tibetan_Batang	ʐ ᴜ ¹³ ◦ p a ⁵³
488	ʌ	ʌ	89	Khaling	tsʰ ʌ k p ɛ
489	²²	²²	94	Rangoon	p j ɑ̃ ∼ ²²
490	c	c	95	Tibetan_Lhasa	t a ¹³ _ c a ¹³²
491	ʂ	ʂ	104	Xiandao	ʂ a ³¹
492	aː	aː	105	Byangsi	g u n d aː
493	²	²	107	Tangut	n e r ²
494	⁵¹	⁵¹	110	Jingpho	l ă ⁵⁵ ◦ t i ⁵¹
495	ɹ	ɹ	110	Darang_Taraon	t i ɯ ŋ ⁵⁵ ◦ k ɹ ɑ i ⁵⁵
496	z	z	111	Hakha_Chin	z ùu
497	ɣ	ɣ	115	Daofu	ɣ n ə
498	ȵ	ȵ	116	Tibetan_Xiahe	h ȵ ə _ l a m
499	x	x	116	Japhug	t ɯ ◦ x t u
500	y	y	123	Hakha_Chin	n àa y + n ǎa y
501	th	tʰ	125	Hakha_Chin	th â r + th ǎ r
502	tʃ	tʃ	129	Jingpho	tʃ u̱ ʔ ⁵⁵ ◦ k ă ³¹ ◦ p a ŋ ³³
503	kh	kʰ	133	Hakha_Chin	p a kh a t
504	tɕ	tɕ	138	Bokar	n ə + tɕ e
505	ɐ	ɐ	139	Daofu	q a + r v ɐ
506	tsʰ	tsʰ	144	Bunan	tsʰ a
507	ʃ	ʃ	149	Jingpho	ʃ u ʔ ³¹
508	v	v	152	Hakha_Chin	v o k
509	pʰ	pʰ	180	Motuo_Menba	pʰ o m
510	ɕ	ɕ	187	Old_Tibetan	ɕ i ŋ + s d o ŋ
511	¹³	¹³	196	Tibetan_Lhasa	t a ¹³ _ c a ¹³²
512	tʰ	tʰ	240	Old_Tibetan	m tʰ o
513	∼	∼	247	Tibetan_Lhasa	ts ĩ ∼ ¹³
514	²¹	²¹	268	Atsi	ʃ ŏ ²¹ + p i k ²¹
515	h	h	327	Tibetan_Xiahe	h ȵ ə _ l a m
516	kʰ	kʰ	332	Old_Tibetan	kʰ a + b a
517	ɯ	ɯ	345	Darang_Taraon	t i ɯ ŋ ⁵⁵ ◦ k ɹ ɑ i ⁵⁵
518	w	w	352	Jingpho	w a ³³
519	g	g	358	Old_Tibetan	s g o r + m o
520	ts	ts	360	Hakha_Chin	ts ı̀i
521	³⁵	³⁵	375	Lisu	k ɑ ³⁵
522	ɛ	ɛ	394	Xiandao	m ɛ t ⁵⁵
523	ɔ	ɔ	395	Dulong	m i ⁵⁵ + tɕ ɔ ʔ ⁵⁵
524	d	d	400	Hakha_Chin	d i r
525	⁵³	⁵³	457	Tibetan_Batang	d ɑ ʔ ⁵³
526	b	b	483	Motuo_Menba	b e _ ts a
527	³³	³³	542	Jingpho	p o ³³
528	_	_	583	Tibetan_Xiahe	h ȵ ə _ l a m
529	ʔ	ʔ	746	Jingpho	m j i ʔ ³¹
530	ə	ə	750	Bokar	n ə + tɕ e
531	ɑ	ɑ	781	Tibetan_Batang	d ɑ ʔ ⁵³
532	e	e	860	Bokar	n ə + tɕ e
533	◦	+	894	Jingpho	k ɑ̱̆ ⁵⁵ ◦ ʒ a ⁵⁵
534	j	j	918	Jingpho	m j i ʔ ³¹
535	³¹	³¹	942	Jingpho	m j i ʔ ³¹
536	p	p	1044	Jingpho	p o ³³
537	s	s	1072	Jingpho	s a i ³¹
538	r	r	1088	Hakha_Chin	th â r + th ǎ r
539	l	l	1131	Jingpho	l ă ⁵⁵ ◦ t i ⁵¹
540	t	t	1229	Hakha_Chin	t à m + t ǎ m +
541	n	n	1351	Jingpho	n a ³³
542	o	o	1356	Jingpho	p o ³³
543	+	+	1574	Hakha_Chin	t à m + t ǎ m +
544	ŋ	ŋ	1584	Hakha_Chin	tl âa ŋ
545	u	u	1719	Jingpho	n ³¹ ◦ k u p ³¹
546	k	k	1752	Jingpho	k ɑ̱̆ ⁵⁵ ◦ ʒ a ⁵⁵
547	m	m	1837	Hakha_Chin	t à m + t ǎ m +
548	⁵⁵	⁵⁵	1913	Jingpho	k ɑ̱̆ ⁵⁵ ◦ ʒ a ⁵⁵
549	i	i	2273	Jingpho	m j i ʔ ³¹
550	a	a	3216	Jingpho	k ɑ̱̆ ⁵⁵ ◦ ʒ a ⁵⁵
