Number	Segment	BIPA	Frequency	Example	Languages
255	ōː	ōː	4	Khaling	dʰ ōː s ʌ m
256	ᴀ	ɑ̟	4	Old_Chinese	t + qʰ ᴀ k
257	n̩	n̩	4	Xiandao	n̩ ⁵⁵ + p u i ³¹
258	ạ		4	Tangut	d ạ ²
259	ȵ̥	ȵ̥	5	Tibetan_Alike	r ȵ̥ u k _ m æ
260	β	β	5	Japhug	k ɯ β d e
261	(		5	Chepang	ph e h + ( p a p )
262	âw		5	Lushai	ŋ̊ âw ŋ
263	ji.		5	Tangut	ʑ ji.
264	ʲ		5	Old_Tibetan	b ʲ a
265	⁵₂	⁵²	5	Chaozhou	ŋ u ɛ ʔ ⁵₂ n ĩ ɛ̃ ∼ ⁵⁵
266	tː	tː	5	Bahing	h e tː
267	ǔ	ǔ	5	Hakha_Chin	k ǔ m
268	tˤ	tˤ	5	Old_Chinese	tˤ r a w k
269	ñ	ɲ	5	Old_Burmese	p l a ñ ʔ
270	ěe	ěe	5	Hakha_Chin	n êe m + n ěe m
271	nˤ	nˤ	5	Old_Chinese	nˤ u p ← s
272	gʱ	gʱ	5	Bantawa	gʱ ã s a
273	jɨɨ		5	Tangut	l jɨɨ r
274	a̰ː	a̰ː	5	Lashi	ŋ a̰ː p ⁵⁵
275	tl		5	Hakha_Chin	tl âa ŋ
276	oɔ	oɔ	5	Khaling	dh oɔ j p ɛ
277	sh		6	Tibetan_Batang	sh ɑ ⁵⁵
278	ɛ̰̃	ɛ̰̃	6	Bola	m ɛ̰̃ ∼ ³⁵
279	⁴⁵₃₅		6	Xingning	tʂ ɑ ɔ ⁴⁵₃₅ ʂ ɿ n ²¹ tʰ i u ²¹
280	cçh		6	rGyalrong_Maerkang	k ɑ _ cçh ɑ
281	ndʐ	nɖʐ	6	Tibetan_Batang	ndʐ u ʔ ⁵³
282	²¹⁴₃₅		6	Beijing	m a ²¹⁴₃₅ j i ²¹⁴
283	-		6	Khaling	l ê l - m ʉ
284	æ̂	æ̂	6	Wobzi_Khroskyabs	j n j æ̂ i
285	ḛ	ḛ	6	Atsi	t ḛ ʔ ⁵⁵
286	ṵː	ṵː	6	Lashi	tʃ ṵː ʔ ⁵⁵
287	ʋ	ʋ	6	Beijing	ʋ a n ²¹⁴
288	³¹₃₅		6	Jieyang	ts ã ĩ ∼ ³¹₃₅ k a ʔ ²
289	ɑː	ɑː	6	Dulong	w ɑː ŋ ⁵³
290	ɢʷ	ɢʷ	6	Old_Chinese	ɢʷ ə n
291	)		6	Japhug	m c i pʰ ɯ t _ l ɤ t )
292	ʔʲ	ʔʲ	6	Xingning	p a ʔʲ ²
293	ị		6	Tangut	l j ị j ²
294	ɕʰ	ɕʰ	6	Daofu	g a + ɕʰ a
295	ɯ̱	ɯ̠	6	Lisu	l ɯ̱ ³¹
296	hl		6	Hakha_Chin	hl âa + s ǎa + + s a k
297	àa	àa	7	Hakha_Chin	n àa y + n ǎa y
298	ɳ	ɳ	7	Rongpo	k ə n uː ɳ
299	⁵³₃₅		7	Chaozhou	u ⁵³₃₅ m o ⁵⁵
300	lh		7	Rongpo	lh e d ə
301	ʌ̄	ʌ̄	7	Khaling	s ʌ̄ l p u
302	ɔ̆	ɔ̆	7	Maru	ʃ ɔ̆ ³⁵ + p a k ³¹
303	ɛː	ɛː	7	Lashi	v ɛː ³³
304	jɨ		7	Tangut	l jɨ
305	aa	aː	7	Hakha_Chin	hr aa t + hr aʔ
306	ø̃	ø̃	7	Tibetan_Lhasa	l ø̃ ∼ ⁵⁵ ◦ p o ⁵⁵
307	ù	ù	7	Hakha_Chin	l ù a + l u a k
308	ỹ	ỹ	7	Tibetan_Lhasa	t ỹ ∼ ¹³
309	hm		7	Hakha_Chin	hm ǔu + hm u ʔ
310	ì	ì	7	Hakha_Chin	d ì ŋ + d ǐ n
311	cçʰ	cçʰ	7	Daofu	p ə + cçʰ a
312	ṃ	m̩	8	Old_Burmese	n a ṃ ◦ n a k
313	bh	bh	8	Khaling	bh ɵ ŋ
314	ô	ô	8	Wobzi_Khroskyabs	ŋ ô
315	ı̀		8	Byangsi	c/tʃ ı̀
316	tsˤ	tsˤ	8	Old_Chinese	s + tsˤ u
317	mb	mb	8	Yidu	b ɯ ³¹ ◦ ɹ u ɑ ³⁵ ◦ mb o ⁵³
318	ʈʂʰ	ʈʂʰ	8	Xiandao	n̥ i ³¹ + ʈʂʰ ɔ ³¹
319	rˤ	rˤ	8	Old_Chinese	p rˤ a k + s
320	n̥ʲ	n̥ʲ	8	Achang_Longchuan	n̥ʲ a ⁵⁵ + l u m ³¹
321	ai	ai	8	Guangzhou	t ai ²² ŋ a ²¹
322	j/dʒ	dʒ	8	Byangsi	m ɨ n j/dʒ e
323	rh		8	Hakha_Chin	aw rh l ei
324	îi	îi	8	Hakha_Chin	hr îi
325	jii		8	Tangut	m jii j
326	hr		8	Hakha_Chin	hr îi
327	o₁		9	Old_Burmese	ʔ a ◦ t o₁ ṅ ḥ
328	dʱ	dʱ	9	Bahing	dʱ ɛ k s i
329	ə̰	ə̰	9	Lashi	s ə̰ k + j o ³¹
330	a/r	r	9	Beijing	ji ²¹⁴₃₅ t u ɔ ²¹⁴₂₁ x u a/r ⁵⁵
331	gh	gh	10	Rongpo	gh ə s _ l ə g aː
332	ǽ	ǽ	10	Wobzi_Khroskyabs	l qʰ ǽ l
333	əː	əː	10	Lashi	ʃ o ⁵⁵ + p əː ³¹
334	o̰	o̰	10	Lashi	pʰ ə̆ ⁵⁵ + l o̰ u ³³
335	hn		10	Hakha_Chin	hn ǎa r
336	cç	cç	10	Tibetan_Alike	cç o k _ m æ
337	ə́	ə́	10	Wobzi_Khroskyabs	s r ə́ m
338	dh	dh	10	Rongpo	dh u w u
339	bʱ	bʱ	10	Bantawa	bʱ e n
340	ḭ	ḭ	10	Maru	ʃ ḭ k ⁵⁵
341	i:	iː	10	Kulung	l i: tʃ i
342	⁵⁵₁₁		10	Chaozhou	tʰ a u ⁵⁵₁₁ m ɔ ⁵⁵
343	ɔː	ɔː	10	Lashi	n ɔː ʔ ³¹
344	²¹₃₅		10	Guangzhou	j ɐ t ⁵ tʰ i u ²¹ j y ²¹₃₅
345	nd	nd	11	Tibetan_Batang	nd a ¹³ ◦ ɣ ɑ ⁵⁵
346	ŏ	ŏ	11	Atsi	ʃ ŏ ²¹ + p i k ²¹
347	aw		11	Hakha_Chin	aw rh l ei
348	ŋ̊	ŋ̊	11	Xiandao	ŋ̊ ɔ ʔ ⁵⁵
349	ɮ	ɮ	11	Daofu	v ɮ e
350	r̥	r̥	11	Lushai	r̥ i a m
351	ɬ	ɬ	11	Daofu	ɬ ə + ɣ n ə
352	ɖ	ɖ	11	Rongpo	ə n ɖ aː
353	ò	ò	12	Byangsi	s ò
354	e̱	e̠	12	Jingpho	n ³¹ ◦ t e̱ n ³³
355	xh		12	Tibetan_Alike	xh a
356	ʦ	ts	12	Khaling	t ʌ̄ m ʦ u
357	ǝ	ə	13	Kulung	n ǝ p a
358	ʈ	ʈ	13	Bunan	k u r k u ʈ i k
359	é	é	13	Rabha	tʰ é
360	ū	ū	13	Old_Burmese	th ū ḥ
361	nh	nh	13	Rongpo	nh i m tʃ i
362	ɘ	ɘ	13	Beijing	ts ɑ o ²¹⁴₂₁ tʂʰ ɘ n ³⁵
363	ɽ	ɽ	13	Rongpo	p aː ɽ
364	kˤ	kˤ	14	Old_Chinese	ɴ + kˤ r e p
365	ǎa	ǎa	14	Hakha_Chin	n àa y + n ǎa y
366	ẽ	ẽ	14	Maru	v ẽ ³⁵ + t u k ³¹
367	ǎ	ǎ	14	Hakha_Chin	t à m + t ǎ m +
368	dʒ	dʒ	14	Rongpo	dʒ ə ŋ ə l
369	âa	âa	14	Hakha_Chin	tl âa ŋ
370	cʰ	cʰ	14	Xiandao	cʰ i ⁵⁵
371	ɔ:	ɔː	14	Kulung	tʃʰ ɔ: m a
372	ɛ̰	ɛ̰	14	Maru	ŋ ɛ̰ ʔ ⁵⁵
373	o₂		15	Old_Burmese	kh o₂ ṅ ḥ
374	k͏ʰ		15	Bantawa	k͏ʰ i m
375	m̥	m̥	15	Achang_Longchuan	m̥ ʐ a ŋ ⁵⁵
376	c/tʃ	tʃ	15	Byangsi	t i n c/tʃ i
377	tʂh		15	Tibetan_Lhasa	tʂh o ¹³ ◦ k o ⁵²
378	tʃh		15	Rongpo	tʃh ɛ
379	l̥	l̥	15	Xiandao	l̥ ɯ ŋ ³⁵
380	qʰ	qʰ	15	Japhug	ɴ qʰ i
381	ɑ̂	ɑ̂	16	Wobzi_Khroskyabs	dʑ ə dʑ ɑ̂
382	nʲ	nʲ	16	Achang_Longchuan	tɕʰ i ³¹ + nʲ a ŋ ³⁵
383	œ	œ	16	Bahing	n œ g a ts i
384	ʅ	ʅ	16	Beijing	ʐ ʅ ɤ ⁵¹
385	ɟ	ɟ	16	rGyalrong_Maerkang	ɟ j o
386	ó	ó	16	Mikir	th ó r
387	¹³²	¹³²	16	Tibetan_Lhasa	tɕ e ¹³²
388	dʐ	ɖʐ	17	Motuo_Menba	dʐ o
389	ç	ç	17	Xiandao	ç ɔ ⁵⁵
390	ɑ̱	ɑ̠	17	Lisu	dʑ ɑ̱ ³³ ◦ g u̱ ³³
391	ji		17	Beijing	ji ²¹⁴₃₅ t u ɔ ²¹⁴₂₁ x u a/r ⁵⁵
392	⁵³₅₅		18	Guangzhou	s y ²² ts i ⁵³₅₅
393	ɦ	ɦ	18	Yidu	i ⁵⁵ ◦ ɦ o ŋ ⁵⁵
394	ō	ō	18	Mikir	th r ō k
395	i̱	i̠	18	Jingpho	l ă ³¹ ◦ k j i̱ ŋ ³¹
396	ui	ui	19	Mikir	ph u r ui
397	è	è	19	Mikir	th è
398	ē	ē	20	Mikir	m ē
399	ɑ́	ɑ́	20	Wobzi_Khroskyabs	pʰ ɑ́
400	⁵⁴	⁵⁴	20	Longgang	ŋ a ŋ ⁵⁴
401	a̱	a̠	20	Jingpho	k a̱ n ³³
402	²¹⁴₂₁		20	Beijing	ts ɑ o ²¹⁴₂₁ tɕʰ i ⁰
403	ʒ	ʒ	20	Jingpho	k ɑ̱̆ ⁵⁵ ◦ ʒ a ⁵⁵
404	ŋ̍	ŋ̍	20	Jieyang	k ŋ̍ ∼ ¹¹
405	ɛ̱	ɛ̠	21	Lisu	n ɛ̱ ³¹ ◦ k u ɑ ³³
406	í	í	21	Rabha	s í + x a m
407	õ	õ	21	Rangoon	pʰ õ ∼ ²²
408	î	î	21	Hakha_Chin	l î a ŋ
409	eː	eː	21	Lashi	l eː ⁵⁵
410	ī	ī	21	Mikir	ch i m ī
411	²³¹	²³¹	21	Tibetan_Batang	ʐ a ²³¹
412	ᴇ		21	rGyalrong_Maerkang	k ə _ w ᴇ k
413	ṅ		22	Old_Burmese	ṅ ā
414	tsh		22	Hakha_Chin	tsh àa + + tsh aa k
415	ə̆	ə̆	22	Bola	pʰ ə̆ ³¹ + ɣ ɔ ʔ ³¹
416	q	q	22	Daofu	q a + r v ɐ
417	tθ	tθ	22	Rangoon	l ɛ ʔ ⁴ + tθ ɛ ⁵⁵
418	ú	ú	22	Mikir	+ ph ú
419	ê	ê	23	Hakha_Chin	s ê n + s ě n
420	o̱	o̠	23	Jingpho	s i ŋ ³¹ ◦ k o̱ ³³
421	ɛ̃	ɛ̃	23	Bola	t ɛ̃ ∼ ³⁵
422	u̱	u̠	23	Jingpho	tʃ u̱ ʔ ⁵⁵ ◦ k ă ³¹ ◦ p a ŋ ³³
423	à	à	24	Hakha_Chin	t à m + t ǎ m +
424	tʂʰ	ʈʂʰ	25	Xingning	tʂʰ ʊ ŋ ²¹
